EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,YearsAtCompany,MonthlyIncome,Attrition,OverTime,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHomeKM
EMP-1478,47,Non-Binary,Single,Human Resources,Recruitment Specialist,Technical Degree,2,7109,No,No,4,1,2,1,2,1,26
EMP-1479,57,Female,Divorced,Finance,Finance Manager,Other,11,12991,No,No,3,3,2,4,9,9,29
EMP-1480,47,Female,Married,Finance,Accountant,Life Sciences,2,8072,Yes,Yes,3,4,2,3,2,2,11
EMP-1481,56,Female,Single,R&D,Research Scientist,Marketing,14,9831,No,No,3,1,3,3,1,0,29
EMP-1482,22,Male,Single,Human Resources,HR Manager,Other,1,13465,Yes,Yes,3,2,3,3,1,1,34
EMP-1483,28,Male,Divorced,Finance,Financial Analyst,Medical,7,8146,No,Yes,2,2,4,4,4,1,29
EMP-1484,55,Male,Divorced,R&D,Laboratory Technician,Human Resources,13,9247,No,No,4,4,4,4,12,6,11
EMP-1485,30,Female,Married,Sales,Sales Manager,Medical,9,14454,Yes,Yes,3,2,4,4,2,2,27
EMP-1486,45,Female,Single,R&D,Research Scientist,Human Resources,5,5389,No,Yes,2,3,3,3,2,0,27
EMP-1487,40,Male,Divorced,R&D,Laboratory Technician,Technical Degree,1,4492,Yes,No,3,3,1,1,1,1,31
EMP-1488,30,Female,Divorced,Finance,Finance Manager,Other,9,17124,No,Yes,3,4,2,3,7,6,15
EMP-1489,56,Male,Divorced,Software Engineering,DevOps Engineer,Technical Degree,9,7264,Yes,No,2,2,1,3,4,4,35
EMP-1490,58,Female,Married,Marketing,Marketing Specialist,Human Resources,1,4503,Yes,No,3,2,1,3,1,0,35
EMP-1491,47,Female,Married,Marketing,Content Strategist,Life Sciences,11,8936,No,No,2,4,1,3,2,2,11
EMP-1492,33,Male,Single,Human Resources,HR Executive,Medical,10,9766,Yes,Yes,3,2,1,3,2,1,10
EMP-1493,38,Male,Single,Software Engineering,DevOps Engineer,Life Sciences,7,7556,No,No,3,2,4,4,3,3,27
EMP-1494,23,Male,Single,R&D,Laboratory Technician,Life Sciences,2,8530,Yes,No,3,1,2,2,1,0,24
EMP-1495,37,Female,Married,Marketing,Marketing Specialist,Human Resources,15,5792,No,Yes,4,4,3,2,8,4,17
EMP-1496,44,Female,Single,Finance,Accountant,Human Resources,17,8241,No,Yes,3,2,1,3,9,6,14
EMP-1497,42,Female,Married,Marketing,Marketing Manager,Other,9,17645,No,No,3,4,3,2,4,3,22
EMP-1498,30,Female,Single,R&D,R&D Manager,Human Resources,9,11955,Yes,No,3,1,2,4,7,1,5
EMP-1499,50,Female,Married,Marketing,Marketing Specialist,Technical Degree,20,11112,Yes,No,4,2,1,1,8,0,18
EMP-1500,44,Male,Divorced,Finance,Finance Manager,Other,10,16440,Yes,Yes,3,2,4,3,10,3,1
